name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Pond turns pink ones in a while	""	way	491914801	natural	water	-68.8613227	12.0732198	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Pond turns pink ones in a while, Curaçao, Nederland	-68.8615424	12.0731169	-68.8610590	12.0733168	""	""	""
Noord overig	""	relation	1414024	boundary	administrative	-70.0243116	12.5934137	16	0.35	""	Noord overig	""	Aruba	The Netherlands	nl	Noord overig, Aruba, Nederland	289.9402634	12.5634620	290.0071152	12.6233720	""	""	""
Little Bay Pond	""	way	25004686	natural	water	-63.0649561	18.0222659	16	0.35	""	""	""	Sint Maarten	The Netherlands	nl	Little Bay Pond, Sint Maarten, Nederland	-63.0657419	18.0202388	-63.0640192	18.0244578	""	""	""
Lagun Blanku	""	way	12193076	natural	water	-68.7913217	12.0369833	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Lagun Blanku, Curaçao, Nederland	-68.7964946	12.0349163	-68.7866504	12.0390842	""	""	""
Jan Thiel Lagun	""	way	100868841	natural	water	-68.8843115	12.0876817	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Jan Thiel Lagun, Curaçao, Nederland	291.1104726	12.0803307	291.1217074	12.0951778	""	""	""
Drinkwater voorraadtank	""	way	139487848	natural	water	-68.9081766	12.1046878	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Drinkwater voorraadtank, Curaçao, Nederland	-68.9083042	12.1045659	-68.9080494	12.1048149	""	""	""
Drinkwater voorraadtank	""	way	139487845	natural	water	-68.9078872	12.1046814	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Drinkwater voorraadtank, Curaçao, Nederland	-68.9080140	12.1045549	-68.9077607	12.1048019	""	""	""
Dam di Moko	""	way	25606168	natural	water	-70.0156341	12.5494173	16	0.35	""	""	""	Aruba	The Netherlands	nl	Dam di Moko, Aruba, Nederland	-70.0166424	12.5481663	-70.0135196	12.5506724	""	""	""
Bubali Bird sanctuary	""	relation	5638923	natural	water	-70.0511857	12.5598720	16	0.35	""	""	""	Aruba	The Netherlands	nl	Bubali Bird sanctuary, Aruba, Nederland	-70.0546141	12.5555402	-70.0465481	12.5642074	""	""	""
Boka Djegu Dam	""	way	233949010	natural	water	-69.1376324	12.3787880	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Boka Djegu Dam, Curaçao, Nederland	-69.1406351	12.3779246	-69.1370303	12.3796226	""	""	""
Bath tub	""	way	323532594	natural	water	-69.1619361	12.3819386	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Bath tub, Curaçao, Nederland	-69.1619690	12.3819026	-69.1619094	12.3819723	""	""	""
Bath tub	""	way	323531578	natural	water	-69.1617976	12.3819436	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Bath tub, Curaçao, Nederland	-69.1618209	12.3819162	-69.1617777	12.3819725	""	""	""
Bath tub	""	way	323531295	natural	water	-69.1618803	12.3818975	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Bath tub, Curaçao, Nederland	-69.1618976	12.3818600	-69.1618025	12.3819342	""	""	""
Bath tub	""	way	323530999	natural	water	-69.1619014	12.3818305	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Bath tub, Curaçao, Nederland	-69.1619271	12.3817952	-69.1618792	12.3818656	""	""	""
Bath tub	""	way	323529635	natural	water	-69.1618664	12.3819605	16	0.35	""	""	""	Curaçao	The Netherlands	nl	Bath tub, Curaçao, Nederland	-69.1619037	12.3819415	-69.1618320	12.3819860	""	""	""
Alto Vista	""	relation	1414025	boundary	administrative	-70.0268237	12.5734612	16	0.35	""	Alto Vista	""	Aruba	The Netherlands	nl	Alto Vista, Aruba, Nederland	289.9647659	12.5514069	289.9998699	12.5955206	""	""	""
Wariruri Bay	""	way	305494399	natural	bay	-69.9857168	12.5588275	17	0.325	""	""	""	Aruba	The Netherlands	nl	Wariruri Bay, Aruba, Nederland	-69.9884818	12.5573529	-69.9819455	12.5605580	""	""	""
Spaanse Water	Spanish Waters	way	298798220	natural	bay	-68.8506647	12.0765992	17	0.325	""	""	""	Curaçao	The Netherlands	nl	Spaanse Water, Curaçao, Nederland	-68.8681196	12.0654063	-68.8388471	12.0877973	""	""	""
Sint Jorisbaai	Sint Joris Bay	way	298797383	natural	bay	-68.8190718	12.1196582	17	0.325	""	""	""	Curaçao	The Netherlands	nl	Sint Jorisbaai, Curaçao, Nederland	291.1707683	12.1099608	291.1976590	12.1294504	""	""	""
Sint Annabaai	Santa Anna Bay	way	317567495	natural	bay	-68.9321651	12.1107111	17	0.325	""	""	""	Curaçao	The Netherlands	nl	Sint Annabaai, Curaçao, Nederland	-68.9369939	12.1049043	-68.9300973	12.1159717	Q2179773	""	""
Rooi Tambu	""	way	451803771	waterway	river	-69.9290351	12.4997884	17	0.325	""	Aruba	""	Aruba	The Netherlands	nl	Rooi Tambu, Aruba, Aruba, Nederland	-69.9418326	12.4974940	-69.9175215	12.5055542	""	""	
Rooi Fluit	""	way	455532531	waterway	river	-69.9414361	12.5213744	17	0.325	""	Aruba	""	Aruba	The Netherlands	nl	Rooi Fluit, Aruba, Aruba, Nederland	-69.9458132	12.5140098	-69.9344727	12.5262118	""	""	
Rooi Canashito	""	way	487089203	waterway	river	-69.9866566	12.5129337	17	0.325	""	Aruba	""	Aruba	The Netherlands	nl	Rooi Canashito, Aruba, Aruba, Nederland	-69.9921467	12.5084266	-69.9785094	12.5130000	""	""	SMT 20, SMT 25, SEB 37, PAP 121 I, PAP 122 F, PAP 122 J, PAP 122 K, PAP 122 M, PAP 122 N, PAP 123 C, PAP 126, PAP 129, PAP, CSH 13 A, CSH 15, CSH 15 B, HO 99, KAB 2 A, STC 1, STC 2 N, STC 274 D, STC 286, STC 288, STC 55 A, STC 59 B, STC Z/N, STC, STC, STC, CSH Z/N, PAP 113, PAP 113, PAP 121 J, PAP 122 E, PAP 125, PAP 132 A, PAP 132, PAP 133, PAP 95, PAP, SMT 135, 46, CSH 11, CSH 13, CSH 14 C, CSH 14 A, STC 11 C, STC 13, STC 2 N, STC 274 B, STC 300 C, STC 304, STC 59 A, STC, CCH 64, CCH, PAP 114, PAP 117 C, PAP 133, PAP 132 A, PAP 95, PAP Z/N, PAP Z/N, SMT 20, SMT 24, CCH 56, PAP 95, CCH, CCH, CCH, CSH 15 A, CSH Z/N, PAP 122 G, PAP 122 F, PAP 122 H, PAP z/n, SMT 14, SMT 135, SMT 22 A, SMT 22, SMT 23 A, CCH 43, CCH, CCH, CCH, CCH, CSH 13 C, CSH Z/N, PAP 113 A, PAP 116 A, PAP 118, PAP 121 D, PAP 121 F, PAP 121 E, PAP 123, PAP 125 A, PAP 123, PAP 131, PAP 132 A, PAP Z/N, PAP, PAP, PAP, PAP, SMT 22 C, STC 11, STC 15 C, STC 15, STC 17, STC 2 P, 51, KAB 2 H, KAB 3, KAB 33, STC 272, STC 274, STC 282 D, STC 274, STC 288 A, STC 300 B, CSH 13 G, CSH 17, KAB 2, STC 1, STC 232 K, STC 232 L, STC 286 A, STC 284, STC 288 A, STC 290, STC 292, STC 298 A, STC 300 C, STC 5 A, STC 57 C, STC 57 E, STC 61 C, STC 65, CSH 11 B, CSH 11 A, STC 13, STC 2 Y, STC 36, STC 5, STC 61 A, STC 61 D, STC 61 G, STC 63 A, STC, SEB 33 D, SEB 37, SEB, SEB, PAP 115, PAP 117 A, PAP 121 B, PAP 121 C, PAP 122 L, PAP 132, PAP 124, PAP 127, PAP 129, CCH 6, CCH, CCH, CCH, CCH, CSH 13 B, CSH 14 B, CSH 14, CSH 15 A, CSH 14 D, PAP 116, PAP 117, PAP 118, PAP 117, PAP 120, PAP 121 C, PAP 122 I, PAP 122 B, PAP, SMT 135, SMT 23 B, SMT 23, SMT, SMT Z/N, SMT, STC 2 N, STC 2 Z, STC 274 A, STC 282, STC 57 F, STC 61 B, STC, PAP 122 D, STC 1, STC 15 A, STC 2 T, STC 232 G, STC 270, STC 274, STC 286 B, STC 282, STC 286 C, STC 298 B, STC 3, STC 300, STC 37, STC 59 B, STC 63 B, STC z/n, PAP 123 K, 58, STC 9, STC Z/N, STC Z/N, STC Z/N, STC Z/N, STC
Rooi Afo	""	way	487229816	waterway	river	-70.0034422	12.5282516	17	0.325	""	Aruba	""	Aruba	The Netherlands	nl	Rooi Afo, Aruba, Aruba, Nederland	-70.0081915	12.5265391	-69.9984081	12.5305149	""	""	RA 12, RA 18 F, RA 19 H, RA 24, RA 31 A, RA 32 C, RA 39 B, RA 46 B, RA 46, RA 50 C, RA 54, RA Z/N, SPP 8 C, CBI 10 H, CBI 79, CBI 8 I, CBI 8 J, CBI 95, CBI, PRA 48 P, RA 27 M, RA 27 R, RA 27 U, RA 29, CBI 12, CBI 20, CBI 8, CBI, PRA 173 A, PRA 173 E, PRA 197, PRA 152 B, SPP 9, PRA 48 N, PRA 48 Q, PRA 48, RA 12 B, RA 18, RA 20 A, RA 22 I, RA 22 I, RA 22 Q, RA 25 C, RA 26 A, RA 27 C, RA 27 C, RA 27 Q, RA 30 H, RA 32 G, RA 32 K, RA 42, RA 44, RA 50 A, RA 54 E, RA 54 B, SBA 78, CBI 1, CBI 10 B, CBI 10 D, CBI 10 E, CBI 10 I, CBI 10 J, CBI 11, CBI 13 G, CBI 15 A, CBI 2 B, CBI 2 D, CBI 2 E, CBI 2 G, CBI 2 R, CBI 2 V, CBI 2 X, CBI 2 Y, CBI 4 B, CBI 5, CBI 50, CBI 51, CBI 76, CBI 7 B, CBI 75, CBI 8 B, CBI 78, CBI 77, CBI 8, CBI 96, CBI, CBI, CBI, PRA 170 B, PRA 172, PRA 175 B, PRA 175 E, PRA 177 C, SLP 2 C, PRA 150, SPP 10, RA 11, RA 12 B, RA 17 A, RA 16 B, RA 17, RA 18, RA 19, RA 21, RA 22 A, RA 22 A, RA 22 D, RA 22 C, RA 22, RA 25 J, RA 28 C, RA 42 A, RA 42 A, RA 42 A, RA 47 B 1, RA 47 A, RA 46 C, RA 48 B, RA 47, RA 49, RA 48, RA 49, RA 50 B, RA 52 A, RA 52 B, RA 52 C, RA 52 D, RA 52, RA 53, RA 54 B, RA 54 E, RA 54 F, RA, SPP 10 A, SPP 10 B, SPP 12, SPP 7, SPP 7 B, SPP 8 A, SPP 8, PRA 48 E, PRA 48 H, PRA 48 B, PRA 48 G, PRA 48 B, RA 22 I, RA 22 L, RA 24 A, RA 23 H, RA 25, RA 26 C, 26 B, RA 28 E, RA 28, RA 27, RA 30 B, RA 30 H, RA 30 D, RA 32 G, RA 32 D, RA 32 I, RA 32, RA 39 A, RA Z/N, RA, SBA, PRA 177 G, PRA 195, PRA 152 A, PRA 156, PRA 168, PRA 168, CBI 12 A, CBI 2 B, CBI 2 H, CBI 2 I, CBI 2 F, CBI 2 M, CBI 2 L, CBI 2 O, CBI 2 W, CBI 4 C, CBI 6, CBI 7, CBI 7 A, CBI 8 G, CBI 8 H, CBI 8 K, CBI 80, CBI 9, CBI 94, CBI Z/N, CBI, PRA 169 A, PRA 170, PRA 169, PRA 169, PRA 173 A, PRA 173 D, PRA 175 F, PRA 175 G, PRA 175 A, PRA 175 H, PRA 175 J, PRA 175 D, PRA 175, PRA 177 C, PRA 177 F, PRA 177, PRA 179 A, PRA, PRA, SLP 5 A, SLP 5, SLP 6, PRA 48 C, PRA 48 I, PRA 48 D, PRA 48 K, PRA 48, RA 14, RA 17 A, RA 17, RA 19 G, RA 20, RA 21 A, RA 22 F, RA 22 K, RA 25 A, RA 25 B, RA 25 E, RA 26, RA 27 B, RA 27 D, RA 27 R, RA 28 F, RA 28 B, RA 30 B, RA 30 C, RA 30, RA 31, RA 32 A, RA 32 B, RA 32 F, RA 33, RA 33 H, RA 40, RA 46 A, RA 47 B, RA 48, RA 54 A, RA 53 A, RA, RA, RA, SBA 72, CBI 10 B, CBI 10 C, CBI 10 G, CBI 15 A, CBI 2 J, CBI 2 K, CBI 2 Z, CBI 20, CBI 2 U, CBI 2 T, CBI 8 F, PRA 169 B, PRA 171, PRA 173 B, PRA 173 C, PRA 173, PRA 175 C, PRA 177 A, PRA 177 B, SLP 4 B, PRA 152 B, PRA 154, PRA 166, SPP 10 B, SPP 12, RA 39, RA 39, RA Z/N
Princess Yacht Club	""	way	22902485	place	island	-63.0889170	18.0387681	17	0.325	""	Princess Yacht Club	""	Sint Maarten	The Netherlands	nl	Princess Yacht Club, Sint Maarten, Nederland	-63.0895652	18.0379356	-63.0882739	18.0395220	""	""	""
Pelikan eiland	Île Pélican	way	151643391	place	island	-63.0184740	18.0180509	17	0.325	""	Pelikan eiland	""	Sint Maarten	The Netherlands	nl	Pelikan eiland, Sint Maarten, Nederland	-63.0196686	18.0175052	-63.0173355	18.0186046	""	""	""
Pelican Rock	Rocher du Pélican	way	197084680	place	island	-63.0976402	18.0300099	17	0.325	""	Pelican Rock	""	Sint Maarten	The Netherlands	nl	Pelican Rock, Sint Maarten, Nederland	296.9023006	18.0299634	296.9024207	18.0300634	""	""	""
Pelican Islet	Îlet Pélican	way	197084682	place	island	-63.0984039	18.0300726	17	0.325	""	Pelican Islet	""	Sint Maarten	The Netherlands	nl	Pelican Islet, Sint Maarten, Nederland	-63.0986019	18.0299327	-63.0981733	18.0302119	""	""	""
Molly Beday	""	way	195370661	place	island	-62.9990978	18.0219765	17	0.325	""	Molly Beday	""	Sint Maarten	The Netherlands	nl	Molly Beday, Sint Maarten, Nederland	296.9997714	18.0215757	297.0017418	18.0223713	""	""	""
Isle de Sol	Snoopy Island	way	22902484	place	island	-63.0909044	18.0355338	17	0.325	""	Isle de Sol	""	Sint Maarten	The Netherlands	nl	Isle de Sol, Sint Maarten, Nederland	-63.0922377	18.0343240	-63.0898111	18.0368594	""	""	""
Curaçao	""	relation	2867318	place	island	-69.0408368	12.2134041	17	0.325	""	Curaçao	""	Curaçao	The Netherlands	nl	Curaçao, Curaçao, Nederland	290.8372913	12.0342303	291.2633624	12.3928010	""	""	""
Buskabaai	""	way	312306787	natural	bay	-68.9195336	12.1288382	17	0.325	""	""	""	Curaçao	The Netherlands	nl	Buskabaai, Curaçao, Nederland	291.0776995	12.1223983	291.0884109	12.1355278	""	""	""
Aruba	Аруба	relation	1400181	place	island	-69.9817821	12.5175961	17	0.325	""	Aruba	""	Aruba	The Netherlands	nl	Aruba, Aruba, Nederland	-70.0642091	12.4118258	-69.8654556	12.6233720	""	""	""
Aruba	""	node	4931527055	place	island	-69.9813435	12.5166959	17	0.325	""	Aruba	""	Aruba	The Netherlands	nl	Aruba, Aruba, Aruba, Nederland	-69.9813435	12.5166959	-69.9813435	12.5166959	""	""	""
Veerisberg	""	node	1266488423	natural	peak	-68.9633405	12.1306558	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Veerisberg, Curaçao, Curaçao, Nederland	-68.9633405	12.1306558	-68.9633405	12.1306558	""	""	""
Sint Hieronymus Tafelberg	""	node	3181007161	natural	peak	-69.0986379	12.3194441	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Sint Hieronymus Tafelberg, Curaçao, Curaçao, Nederland	-69.0986379	12.3194441	-69.0986379	12.3194441	""	""	""
Seru Shon Meester	""	node	3202388347	natural	peak	-69.1153681	12.3650730	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Shon Meester, Curaçao, Curaçao, Nederland	-69.1153681	12.3650730	-69.1153681	12.3650730	""	""	""
Seru Pretu	""	node	1151259326	natural	peak	-68.9560759	12.1229898	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Pretu, Curaçao, Curaçao, Nederland	-68.9560759	12.1229898	-68.9560759	12.1229898	""	""	""
Seru Kunuku Kas	""	node	3298146124	natural	peak	-69.0560565	12.2750507	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Kunuku Kas, Curaçao, Curaçao, Nederland	-69.0560565	12.2750507	-69.0560565	12.2750507	""	""	""
Seru Kabayé	""	node	3294601246	natural	peak	-69.1499214	12.3822807	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Kabayé, Curaçao, Curaçao, Nederland	-69.1499214	12.3822807	-69.1499214	12.3822807	""	""	""
Seru Gracia	""	node	1916455910	natural	peak	-69.1275467	12.3352129	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Gracia, Curaçao, Curaçao, Nederland	-69.1275467	12.3352129	-69.1275467	12.3352129	""	""	""
Seru Chai	""	node	3202388346	natural	peak	-69.1117146	12.3629443	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Chai, Curaçao, Curaçao, Nederland	-69.1117146	12.3629443	-69.1117146	12.3629443	""	""	""
Seru Braun	""	node	3202388345	natural	peak	-69.1103315	12.3606647	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Seru Braun, Curaçao, Curaçao, Nederland	-69.1103315	12.3606647	-69.1103315	12.3606647	""	""	""
Sero Jamanota	""	node	540217531	natural	peak	-69.9404811	12.4874093	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Sero Jamanota, Aruba, Aruba, Nederland	-69.9404811	12.4874093	-69.9404811	12.4874093	""	""	""
Sero Crystal	""	node	4888608614	natural	peak	-69.9932625	12.5497016	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Sero Crystal, Aruba, Aruba, Nederland	-69.9932625	12.5497016	-69.9932625	12.5497016	""	""	""
Sero Colorado	""	node	4599172446	natural	peak	-69.8695608	12.4181798	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Sero Colorado, Aruba, Aruba, Nederland	-69.8695608	12.4181798	-69.8695608	12.4181798	""	""	""
Sero Cabai	""	node	1773562177	natural	peak	-69.9364642	12.4923821	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Sero Cabai, Aruba, Aruba, Nederland	-69.9364642	12.4923821	-69.9364642	12.4923821	""	""	""
Sero Arikok	""	node	1760835958	natural	peak	-69.9431545	12.5056820	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Sero Arikok, Aruba, Aruba, Nederland	-69.9431545	12.5056820	-69.9431545	12.5056820	""	""	""
Santa Cruz	""	node	4182294398	place	town	-69.9804308	12.5113590	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Santa Cruz, Aruba, Aruba, Nederland	-69.9804308	12.5113590	-69.9804308	12.5113590	Q3558364	""	""
Ronde Klip	""	node	297313382	natural	peak	-68.8511503	12.1482521	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Ronde Klip, Curaçao, Curaçao, Nederland	-68.8511503	12.1482521	-68.8511503	12.1482521	""	""	""
Kabrietenberg	""	node	3181014149	natural	peak	-68.8565469	12.0731687	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Kabrietenberg, Curaçao, Curaçao, Nederland	-68.8565469	12.0731687	-68.8565469	12.0731687	""	""	""
Jack. Evertsberg	Jack Everts Hill	node	3180997686	natural	peak	-68.9460442	12.1210468	18	0.3	""	Curaçao	""	Curaçao	The Netherlands	nl	Jack. Evertsberg, Curaçao, Curaçao, Nederland	-68.9460442	12.1210468	-68.9460442	12.1210468	""	""	""
Hooiberg	""	node	4253910397	natural	peak	-69.9950745	12.5169395	18	0.3	""	Aruba	""	Aruba	The Netherlands	nl	Hooiberg, Aruba, Aruba, Nederland	-69.9950745	12.5169395	-69.9950745	12.5169395	""	""	""
Zorgvlied	""	node	3197111458	place	hamlet	-69.1224535	12.3664141	19	0.275	""	Curaçao	""	Curaçao	The Netherlands	nl	Zorgvlied, Curaçao, Curaçao, Nederland	-69.1224535	12.3664141	-69.1224535	12.3664141	""	""	""
West Punt	""	node	4599172435	place	village	-70.0373933	12.5912367	19	0.275	""	Aruba	""	Aruba	The Netherlands	nl	West Punt, Aruba, Aruba, Nederland	-70.0373933	12.5912367	-70.0373933	12.5912367	""	""	""
Tierra Del Sol	""	node	4599172437	place	village	-70.0421896	12.6040910	19	0.275	""	Aruba	""	Aruba	The Netherlands	nl	Tierra Del Sol, Aruba, Aruba, Nederland	-70.0421896	12.6040910	-70.0421896	12.6040910	""	""	""
Tanki Leendert	""	node	4599172432	place	village	-70.0196205	12.5420160	19	0.275	""	Aruba	""	Aruba	The Netherlands	nl	Tanki Leendert, Aruba, Aruba, Nederland	-70.0196205	12.5420160	-70.0196205	12.5420160	""	""	""
